"EDR140209","Textus et mensurae secundum (1)<br>v. 1: lat.: 1,5; litt. alt.: 0,9<br>v. 2: lat.: 6,5; litt. alt.: 0,7"
"EDR140213","Textus et mensurae secundum (1), periit (2).<br>Prope EDR140217, EDR140219, EDR140221, EDR140223, EDR140224, EDR140226, EDR140237, EDR140232, EDR140233 "
"EDR140217","Textus et mensurae secundum (2), contulerunt et non invenerunt Campbell, Helms, Hicks, Nyhuis, Rasmussen, Rebman (HGP) a. 2014.<br>Hic titulus olim erat iuxta parvam picturam quae nunc periit (3).<br>v. 1: II scriptum pro ultima littera E. Litterae X et P sunt dubiae lectionis (2), sed illae videntur satis clarae in imagine apud (3). Ex apographo et OVES legi posse videtur (2). Della Corte indicat ""Alla base dell'indicata area, resta enigmatica la prima E"" (1). <br>Prope EDR140213, EDR140219, EDR140221, EDR140223, EDR140224, EDR140226, EDR140237, EDR140232, EDR140233 "
"EDR140237","Textus secundum (1), periit (2) <br>Prope EDR140213, EDR140217, EDR140219, EDR140221, EDR140223, EDR140224, EDR140226, EDR140232, EDR140233 "
"EDR140255","Textus et mensurae secundum (1).<br>v. 1: lat.: 22,5; litt. alt.: 2,0-7,3<br>v. 2: lat.: 6,8; litt. alt.: 4,0-4,3"
"EDR142568","Textus secundum (1)"
"EDR142572","Textus secundum (1)"
"EDR143634","Textus secundum (2). Beall, Bey IV, McCrory, Opdenhoff, Tomasi, et Zimmermann Damer contulerunt et mensuras prehenderunt a. 2014. <br>Prope EDR143814, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR144784, EDR147158."
"EDR143636","Textus et mensurae secundum (2); intellegitur ut ""mulieris imago"" apud (1), fortasse non recte.<br>EDR154177, EDR154179, EDR10219, EDR144357, EDR154185, EDR154186, EDR154189"
"EDR143648","Textus in columna I secundum (11), aliter (1)-(10) (13) (15)-(18) (plerumque in supplementis differuntur); textus in columna II secundum (1). Mensurae ex apographo apud (1).<br>v. 1: ]tui· me· (4); [quid fi]t? vi me (5); [aedi]tui (6); [qui fi]t? (1) (3) ad Beucheler attribuerunt, sed per errorem, ut videtur, enim in scriptis eius solum [quid fi]t? invenitur; [atta]t vi (9); [tanta] vi (10); t[?]ui me (13); oculei cum I longa (18)<br>v. 2: ]nadum (4); [no]n ad vim (5); [lump]hae vim (6); [non aqua]m vestreis (8); [ignis] vim (sc. plorando) (9); [non ad] vim (3) attribuit ad Buecheler, sed per errorem, ut videtur, enim in scriptis eius solum [no]n ad vim invenitur; [iam iam] vim (10); N OB confirmavit (18)<br>v. 3: [verum] non (5); [vanum] non (6); [at mihi] non (10); [ust]o (17); ]S· (18)<br>v. 4: [hae]c os (5); [haec] ossa incendunt (8); [tun]c os (9); cos . ? . incendunt (13); [hui]c os (17); tabificantque (4)-(8), confirmatur (11) (14) ; tabifican(t)que (1) (3) (9) (13) (16); tabifican[t]que (18)   <br>v. 5: epoese pro &#7952;&#960;&#959;&#943;&#951;&#963;&#949;<br>in eadem manu sunt CIL 04, 04967-04973, (1) et alii."
"EDR143814","Textus secundum (2). Contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmerman Damer a. 2014.<br>Prope EDR143634, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR144784, EDR147158."
